t,marker,ok,dt_ms,roll_deg,pitch_deg,yaw_deg,gx,gy,gz,L_roll_deg,L_pitch_deg,L_yaw_deg,R_roll_deg,R_pitch_deg,R_yaw_deg,disagree_deg,Lq0,Lq1,Lq2,Lq3,Rq0,Rq1,Rq2,Rq3,Fq0,Fq1,Fq2,Fq3,Lgx,Lgy,Lgz,Rgx,Rgy,Rgz
17.8980,0,1,114.92,-38.073,-1.094,-2.652,-0.00183,-0.00072,-0.00017,0.594,-0.233,-5.164,-76.738,-0.196,-0.152,77.450,0.998970,0.005086,-0.002261,-0.045037,0.784025,-0.620726,-0.000520,-0.002102,0.944944,-0.326274,-0.001474,-0.024983,-0.00061,-0.00037,-0.00081,-0.00306,-0.00107,0.00047
17.9020,0,1,4.01,-38.073,-1.093,-2.650,-0.00103,-0.00085,0.00063,0.593,-0.232,-5.164,-76.738,-0.196,-0.150,77.449,0.998970,0.005076,-0.002254,-0.045034,0.784025,-0.620725,-0.000529,-0.002084,0.944943,-0.326279,-0.001475,-0.024971,-0.00220,0.00017,0.00026,0.00014,-0.00187,0.00101
18.2041,0,1,302.10,-38.074,-1.092,-2.655,0.00017,-0.00179,0.00090,0.597,-0.234,-5.173,-76.744,-0.188,-0.154,77.460,0.998966,0.005109,-0.002278,-0.045118,0.783991,-0.620768,-0.000454,-0.002073,0.944938,-0.326289,-0.001448,-0.025010,0.00020,-0.00277,0.00055,0.00015,-0.00081,0.00126
18.2082,0,1,4.13,-38.075,-1.092,-2.655,-0.00023,-0.00046,0.00090,0.596,-0.234,-5.173,-76.744,-0.188,-0.154,77.459,0.998966,0.005101,-0.002279,-0.045113,0.783991,-0.620768,-0.000454,-0.002073,0.944937,-0.326293,-0.001448,-0.025008,-0.00060,-0.00010,0.00055,0.00015,-0.00081,0.00126
18.5018,0,1,293.58,-38.077,-1.092,-2.658,-0.00049,-0.00099,-0.00029,0.597,-0.229,-5.176,-76.749,-0.191,-0.153,77.465,0.998965,0.005113,-0.002233,-0.045142,0.783967,-0.620799,-0.000481,-0.002083,0.944932,-0.326306,-0.001438,-0.025028,-0.00168,-0.00171,-0.00131,0.00069,-0.00027,0.00073
18.5075,0,1,5.75,-38.077,-1.092,-2.658,-0.00049,-0.00099,-0.00029,0.597,-0.229,-5.176,-76.749,-0.191,-0.153,77.465,0.998965,0.005113,-0.002233,-0.045142,0.783967,-0.620799,-0.000481,-0.002083,0.944932,-0.326306,-0.001438,-0.025028,-0.00168,-0.00171,-0.00131,0.00069,-0.00027,0.00073
18.8179,0,1,310.35,-38.075,-1.093,-2.663,0.00004,0.00008,-0.00108,0.593,-0.230,-5.183,-76.743,-0.193,-0.157,77.456,0.998962,0.005083,-0.002237,-0.045202,0.783998,-0.620760,-0.000475,-0.002119,0.944934,-0.326297,-0.001437,-0.025079,-0.00060,0.00098,-0.00077,0.00068,-0.00082,-0.00140
18.8217,0,1,3.77,-38.075,-1.093,-2.663,0.00057,-0.00019,0.00025,0.595,-0.229,-5.183,-76.744,-0.193,-0.155,77.458,0.998962,0.005099,-0.002232,-0.045204,0.783996,-0.620763,-0.000477,-0.002108,0.944936,-0.326291,-0.001435,-0.025075,0.00153,0.00044,-0.00023,-0.00039,-0.00081,0.00074
19.4070,0,1,585.37,-38.081,-1.094,-2.666,-0.00101,-0.00125,-0.00134,0.588,-0.223,-5.185,-76.750,-0.201,-0.155,77.457,0.998962,0.005038,-0.002175,-0.045221,0.783961,-0.620807,-0.000531,-0.002151,0.944916,-0.326346,-0.001434,-0.025106,-0.00112,-0.00116,-0.00129,-0.00091,-0.00134,-0.00139
19.4760,0,1,68.93,-38.083,-1.089,-2.667,-0.00074,0.00021,-0.00001,0.589,-0.221,-5.178,-76.754,-0.197,-0.164,77.462,0.998965,0.005047,-0.002163,-0.045160,0.783937,-0.620836,-0.000456,-0.002188,0.944912,-0.326359,-0.001388,-0.025094,0.00022,0.00071,-0.00051,-0.00170,-0.00030,0.00048
19.4890,0,1,12.99,-38.080,-1.090,-2.663,0.00033,-0.00179,0.00065,0.591,-0.222,-5.175,-76.751,-0.198,-0.159,77.461,0.998966,0.005067,-0.002170,-0.045135,0.783953,-0.620816,-0.000494,-0.002165,0.944920,-0.326338,-0.001412,-0.025068,-0.00004,-0.00143,0.00189,0.00070,-0.00215,-0.00058
19.5611,0,1,72.15,-38.077,-1.092,-2.663,0.00032,-0.00032,-0.00069,0.596,-0.229,-5.174,-76.749,-0.197,-0.163,77.462,0.998966,0.005102,-0.002229,-0.045127,0.783969,-0.620796,-0.000463,-0.002181,0.944930,-0.326309,-0.001427,-0.025072,0.00048,-0.00168,-0.00025,0.00016,0.00104,-0.00112
19.5921,0,1,30.95,-38.077,-1.092,-2.662,0.00059,-0.00032,0.00012,0.596,-0.230,-5.175,-76.748,-0.195,-0.161,77.462,0.998965,0.005103,-0.002237,-0.045137,0.783972,-0.620793,-0.000463,-0.002163,0.944930,-0.326307,-0.001431,-0.025068,0.00075,-0.00088,-0.00105,0.00043,0.00024,0.00128
19.7382,0,1,146.17,-38.076,-1.092,-2.660,0.00032,0.00035,-0.00029,0.596,-0.229,-5.173,-76.748,-0.195,-0.159,77.462,0.998966,0.005110,-0.002228,-0.045120,0.783975,-0.620789,-0.000477,-0.002143,0.944933,-0.326301,-0.001433,-0.025049,0.00209,0.00126,0.00028,-0.00144,-0.00055,-0.00086
19.7446,0,1,6.38,-38.076,-1.092,-2.662,-0.00035,0.00142,-0.00122,0.598,-0.227,-5.175,-76.750,-0.197,-0.161,77.467,0.998965,0.005124,-0.002211,-0.045131,0.783961,-0.620806,-0.000476,-0.002164,0.944931,-0.326304,-0.001424,-0.025066,0.00102,0.00152,-0.00105,-0.00171,0.00132,-0.00139
19.9238,0,1,179.20,-38.078,-1.092,-2.663,0.00019,0.00089,-0.00082,0.599,-0.229,-5.174,-76.754,-0.197,-0.164,77.470,0.998966,0.005128,-0.002231,-0.045123,0.783941,-0.620831,-0.000463,-0.002190,0.944926,-0.326318,-0.001428,-0.025075,0.00102,0.00046,-0.00079,-0.00063,0.00131,-0.00085
19.9331,0,1,9.25,-38.081,-1.092,-2.664,-0.00087,-0.00072,0.00025,0.596,-0.227,-5.174,-76.757,-0.198,-0.164,77.470,0.998966,0.005103,-0.002213,-0.045124,0.783925,-0.620852,-0.000468,-0.002196,0.944918,-0.326342,-0.001421,-0.025079,-0.00139,-0.00221,0.00135,-0.00036,0.00078,-0.00085
20.0381,0,1,105.04,-38.080,-1.093,-2.667,-0.00061,0.00115,-0.00188,0.594,-0.226,-5.175,-76.753,-0.202,-0.166,77.466,0.998965,0.005092,-0.002207,-0.045137,0.783942,-0.620830,-0.000483,-0.002235,0.944920,-0.326334,-0.001426,-0.025106,-0.00085,0.00046,-0.00078,-0.00036,0.00184,-0.00297
20.0497,0,1,11.56,-38.079,-1.094,-2.667,0.00086,-0.00005,-0.00107,0.595,-0.227,-5.176,-76.753,-0.204,-0.167,77.465,0.998965,0.005095,-0.002210,-0.045145,0.783947,-0.620823,-0.000490,-0.002244,0.944922,-0.326329,-0.001431,-0.025115,0.00075,-0.00008,-0.00078,0.00097,-0.00003,-0.00137
20.6352,0,1,585.53,-38.074,-1.090,-2.669,0.00112,0.00115,-0.00080,0.607,-0.219,-5.178,-76.756,-0.202,-0.167,77.481,0.998964,0.005207,-0.002152,-0.045157,0.783931,-0.620844,-0.000475,-0.002236,0.944936,-0.326288,-0.001392,-0.025118,0.00153,-0.00008,-0.00104,0.00071,0.00237,-0.00057
20.6504,0,1,15.16,-38.078,-1.083,-2.672,0.00032,-0.00019,-0.00000,0.596,-0.208,-5.186,-76.752,-0.195,-0.162,77.468,0.998961,0.005113,-0.002050,-0.045230,0.783948,-0.620822,-0.000456,-0.002168,0.944925,-0.326320,-0.001328,-0.025120,0.00073,0.00098,-0.00076,-0.00010,-0.00136,0.00076
21.2508,0,1,600.41,-38.083,-1.082,-2.677,0.00046,0.00048,-0.00066,0.591,-0.205,-5.190,-76.757,-0.196,-0.166,77.468,0.998960,0.005072,-0.002017,-0.045265,0.783925,-0.620852,-0.000441,-0.002202,0.944911,-0.326357,-0.001303,-0.025157,0.00181,0.00125,0.00032,-0.00089,-0.00030,-0.00164
21.2754,0,1,24.63,-38.087,-1.093,-2.676,0.00033,-0.00204,-0.00078,0.583,-0.217,-5.201,-76.756,-0.199,-0.158,77.460,0.998956,0.005001,-0.002122,-0.045359,0.783926,-0.620850,-0.000503,-0.002159,0.944899,-0.326390,-0.001391,-0.025184,0.00156,-0.00220,-0.00073,-0.00089,-0.00188,-0.00084
21.6636,0,1,388.23,-38.084,-1.094,-2.672,0.00086,-0.00189,-0.00025,0.585,-0.227,-5.202,-76.751,-0.191,-0.155,77.456,0.998955,0.005009,-0.002206,-0.045370,0.783956,-0.620813,-0.000470,-0.002099,0.944908,-0.326364,-0.001418,-0.025158,0.00049,-0.00084,0.00035,0.00123,-0.00294,-0.00085
21.6756,0,1,11.93,-38.080,-1.097,-2.673,-0.00061,-0.00122,-0.00092,0.589,-0.232,-5.203,-76.748,-0.191,-0.156,77.457,0.998954,0.005041,-0.002258,-0.045381,0.783972,-0.620793,-0.000458,-0.002103,0.944917,-0.326337,-0.001439,-0.025165,-0.00138,-0.00163,-0.00099,0.00016,-0.00081,-0.00085
21.7690,0,1,93.40,-38.079,-1.097,-2.671,0.00046,-0.00202,0.00015,0.590,-0.232,-5.202,-76.747,-0.190,-0.154,77.457,0.998955,0.005052,-0.002253,-0.045372,0.783979,-0.620784,-0.000466,-0.002082,0.944921,-0.326326,-0.001441,-0.025150,0.00129,-0.00296,0.00008,-0.00038,-0.00107,0.00021
21.8642,0,1,95.20,-38.080,-1.095,-2.669,-0.00088,-0.00028,0.00161,0.588,-0.231,-5.201,-76.746,-0.187,-0.152,77.454,0.998955,0.005031,-0.002251,-0.045364,0.783981,-0.620781,-0.000457,-0.002057,0.944919,-0.326334,-0.001435,-0.025132,-0.00218,0.00024,0.00088,0.00042,-0.00080,0.00235
21.8790,0,1,14.85,-38.075,-1.092,-2.670,0.00005,0.00131,0.00028,0.594,-0.225,-5.198,-76.742,-0.190,-0.155,77.456,0.998957,0.005086,-0.002199,-0.045330,0.784004,-0.620752,-0.000461,-0.002092,0.944934,-0.326291,-0.001410,-0.025133,0.00075,0.00210,-0.00020,-0.00065,0.00053,0.00075
22.1896,0,1,310.60,-38.076,-1.090,-2.671,-0.00009,0.00052,0.00068,0.594,-0.217,-5.195,-76.746,-0.194,-0.154,77.460,0.998958,0.005093,-0.002130,-0.045312,0.783984,-0.620777,-0.000493,-0.002110,0.944930,-0.326303,-0.001390,-0.025133,-0.00113,0.00103,0.00167,0.00095,-0.00000,-0.00031
22.2006,0,1,11.03,-38.076,-1.089,-2.671,0.00045,0.00118,-0.00012,0.595,-0.215,-5.195,-76.746,-0.194,-0.154,77.462,0.998958,0.005104,-0.002113,-0.045311,0.783984,-0.620777,-0.000493,-0.002110,0.944932,-0.326297,-0.001381,-0.025132,-0.00006,0.00236,0.00006,0.00095,-0.00000,-0.00031
22.7863,0,1,585.61,-38.075,-1.087,-2.666,-0.00196,-0.00002,0.00013,0.593,-0.219,-5.189,-76.743,-0.189,-0.152,77.457,0.998960,0.005086,-0.002140,-0.045257,0.783998,-0.620760,-0.000468,-0.002066,0.944934,-0.326295,-0.001382,-0.025080,-0.00219,0.00103,0.00139,-0.00172,-0.00107,-0.00112
23.5059,0,1,719.64,-38.083,-1.085,-2.667,-0.00074,-0.00096,-0.00053,0.589,-0.210,-5.195,-76.754,-0.188,-0.146,77.464,0.998958,0.005051,-0.002060,-0.045309,0.783941,-0.620832,-0.000493,-0.002014,0.944913,-0.326356,-0.001353,-0.025081,-0.00218,-0.00086,-0.00154,0.00070,-0.00106,0.00048
23.6142,0,1,108.28,-38.084,-1.089,-2.670,0.00060,-0.00081,-0.00119,0.589,-0.215,-5.202,-76.757,-0.189,-0.147,77.466,0.998955,0.005045,-0.002108,-0.045372,0.783926,-0.620851,-0.000495,-0.002030,0.944907,-0.326370,-0.001380,-0.025122,0.00076,-0.00083,-0.00152,0.00044,-0.00079,-0.00085
23.6216,0,1,7.40,-38.085,-1.088,-2.669,0.00033,-0.00041,0.00014,0.588,-0.214,-5.202,-76.757,-0.188,-0.146,77.466,0.998955,0.005040,-0.002101,-0.045369,0.783926,-0.620851,-0.000497,-0.002015,0.944907,-0.326372,-0.001377,-0.025113,0.00075,0.00024,-0.00099,-0.00010,-0.00106,0.00128
23.7345,0,1,112.97,-38.082,-1.089,-2.674,0.00059,0.00039,-0.00105,0.590,-0.208,-5.207,-76.752,-0.193,-0.145,77.464,0.998953,0.005058,-0.002048,-0.045414,0.783949,-0.620822,-0.000533,-0.002040,0.944915,-0.326347,-0.001368,-0.025150,0.00048,0.00049,-0.00018,0.00070,0.00028,-0.00192
24.0147,0,1,280.13,-38.081,-1.089,-2.674,0.00006,0.00012,-0.00078,0.588,-0.209,-5.208,-76.750,-0.194,-0.146,77.461,0.998953,0.005046,-0.002051,-0.045424,0.783959,-0.620809,-0.000535,-0.002047,0.944915,-0.326345,-0.001371,-0.025159,-0.00112,-0.00004,-0.00098,0.00123,0.00028,-0.00058
24.6296,0,1,614.94,-38.083,-1.092,-2.676,-0.00034,-0.00002,-0.00010,0.586,-0.209,-5.208,-76.753,-0.200,-0.148,77.460,0.998953,0.005025,-0.002056,-0.045423,0.783947,-0.620824,-0.000567,-0.002092,0.944908,-0.326363,-0.001390,-0.025182,-0.00111,-0.00032,-0.00124,0.00044,0.00028,0.00104
24.6462,0,1,16.58,-38.084,-1.098,-2.681,0.00007,0.00024,-0.00009,0.580,-0.210,-5.208,-76.747,-0.212,-0.154,77.448,0.998953,0.004970,-0.002064,-0.045421,0.783975,-0.620788,-0.000614,-0.002205,0.944905,-0.326367,-0.001420,-0.025240,-0.00109,-0.00006,-0.00044,0.00123,0.00054,0.00027
25.4897,0,1,843.53,-38.087,-1.100,-2.675,-0.00046,0.00025,0.00058,0.575,-0.212,-5.206,-76.749,-0.212,-0.144,77.445,0.998954,0.004928,-0.002075,-0.045408,0.783964,-0.620802,-0.000667,-0.002135,0.944896,-0.326396,-0.001453,-0.025197,-0.00028,0.00073,0.00062,-0.00064,-0.00024,0.00054
25.6632,0,1,173.50,-38.086,-1.101,-2.673,-0.00085,-0.00055,-0.00022,0.583,-0.218,-5.209,-76.754,-0.206,-0.140,77.458,0.998953,0.004994,-0.002128,-0.045433,0.783940,-0.620833,-0.000655,-0.002075,0.944901,-0.326384,-0.001475,-0.025178,-0.00001,0.00020,0.00010,-0.00168,-0.00130,-0.00054
25.7556,0,1,92.35,-38.086,-1.103,-2.673,-0.00017,-0.00042,0.00032,0.583,-0.220,-5.212,-76.754,-0.207,-0.139,77.459,0.998951,0.004994,-0.002147,-0.045458,0.783937,-0.620836,-0.000659,-0.002072,0.944900,-0.326386,-0.001487,-0.025190,0.00026,-0.00034,0.00064,-0.00061,-0.00049,-0.00000
25.7675,0,1,11.89,-38.086,-1.105,-2.672,-0.00004,-0.00041,0.00005,0.586,-0.227,-5.211,-76.759,-0.204,-0.140,77.466,0.998952,0.005020,-0.002210,-0.045451,0.783915,-0.620864,-0.000633,-0.002062,0.944898,-0.326390,-0.001507,-0.025181,-0.00054,-0.00166,-0.00124,0.00047,0.00084,0.00133
26.1655,0,1,397.99,-38.086,-1.102,-2.668,0.00037,0.00013,-0.00010,0.587,-0.227,-5.207,-76.759,-0.198,-0.138,77.467,0.998953,0.005028,-0.002210,-0.045411,0.783914,-0.620865,-0.000605,-0.002019,0.944901,-0.326387,-0.001492,-0.025138,0.00026,-0.00005,-0.00044,0.00047,0.00030,0.00025
26.1909,0,1,25.40,-38.083,-1.097,-2.671,-0.00070,0.00185,-0.00090,0.592,-0.218,-5.209,-76.757,-0.198,-0.140,77.470,0.998952,0.005072,-0.002134,-0.045429,0.783922,-0.620855,-0.000596,-0.002035,0.944910,-0.326360,-0.001447,-0.025155,0.00026,0.00207,-0.00097,-0.00167,0.00164,-0.00082
26.4895,0,1,298.65,-38.082,-1.103,-2.668,-0.00057,0.00053,0.00044,0.583,-0.222,-5.206,-76.746,-0.204,-0.136,77.450,0.998954,0.004990,-0.002169,-0.045404,0.783981,-0.620781,-0.000661,-0.002033,0.944912,-0.326354,-0.001500,-0.025140,0.00001,0.00048,0.00116,-0.00115,0.00058,-0.00027
26.5000,0,1,10.49,-38.082,-1.102,-2.667,-0.00057,0.00080,0.00057,0.583,-0.222,-5.204,-76.746,-0.204,-0.136,77.451,0.998955,0.004996,-0.002165,-0.045390,0.783981,-0.620781,-0.000661,-0.002033,0.944913,-0.326351,-0.001498,-0.025133,0.00001,0.00101,0.00142,-0.00115,0.00058,-0.00027
27.0871,0,1,587.09,-38.081,-1.106,-2.664,-0.00017,0.00080,-0.00009,0.590,-0.220,-5.203,-76.752,-0.211,-0.129,77.463,0.998955,0.005059,-0.002155,-0.045383,0.783953,-0.620817,-0.000749,-0.002024,0.944916,-0.326343,-0.001539,-0.025125,0.00027,0.00074,-0.00072,-0.00060,0.00087,0.00054
27.1293,0,1,42.23,-38.084,-1.098,-2.656,0.00038,-0.00080,0.00095,0.595,-0.219,-5.193,-76.763,-0.198,-0.127,77.480,0.998959,0.005102,-0.002147,-0.045291,0.783891,-0.620895,-0.000668,-0.001941,0.944909,-0.326370,-0.001492,-0.025033,0.00053,-0.00087,0.00086,0.00023,-0.00074,0.00105
27.4216,0,1,292.32,-38.083,-1.098,-2.651,-0.00055,-0.00053,-0.00026,0.602,-0.222,-5.188,-76.768,-0.197,-0.123,77.491,0.998960,0.005157,-0.002169,-0.045246,0.783864,-0.620929,-0.000682,-0.001904,0.944912,-0.326364,-0.001511,-0.024990,0.00105,0.00020,0.00112,-0.00216,-0.00126,-0.00163
27.4323,0,1,10.65,-38.084,-1.098,-2.651,-0.00015,-0.00013,0.00028,0.600,-0.222,-5.187,-76.767,-0.197,-0.123,77.488,0.998961,0.005141,-0.002175,-0.045240,0.783871,-0.620921,-0.000679,-0.001909,0.944912,-0.326367,-0.001513,-0.024989,-0.00108,-0.00086,0.00058,0.00078,0.00060,-0.00003
27.7156,0,1,283.32,-38.082,-1.097,-2.651,0.00065,-0.00053,0.00107,0.601,-0.226,-5.188,-76.763,-0.190,-0.126,77.485,0.998960,0.005147,-0.002209,-0.045251,0.783890,-0.620896,-0.000622,-0.001891,0.944918,-0.326350,-0.001501,-0.024985,0.00159,-0.00139,0.00005,-0.00029,0.00033,0.00210
27.7284,0,1,12.81,-38.082,-1.095,-2.654,-0.00122,0.00053,0.00014,0.601,-0.224,-5.188,-76.763,-0.192,-0.131,77.484,0.998960,0.005147,-0.002191,-0.045246,0.783892,-0.620894,-0.000599,-0.001938,0.944918,-0.326348,-0.001478,-0.025008,-0.00189,0.00047,-0.00075,-0.00056,0.00058,0.00103
28.3294,0,1,600.97,-38.078,-1.092,-2.653,-0.00002,-0.00041,0.00040,0.609,-0.226,-5.193,-76.764,-0.181,-0.129,77.494,0.998958,0.005216,-0.002207,-0.045289,0.783887,-0.620900,-0.000534,-0.001864,0.944928,-0.326320,-0.001453,-0.024991,0.00050,-0.00086,0.00113,-0.00055,0.00005,-0.00033
28.3334,0,1,3.97,-38.078,-1.092,-2.653,0.00025,-0.00001,0.00039,0.615,-0.231,-5.193,-76.769,-0.176,-0.132,77.506,0.998957,0.005272,-0.002261,-0.045292,0.783856,-0.620939,-0.000487,-0.001854,0.944929,-0.326317,-0.001457,-0.024988,0.00182,-0.00085,0.00086,-0.00133,0.00084,-0.00008
29.2377,0,1,904.33,-38.076,-1.090,-2.653,-0.00068,0.00079,0.00132,0.621,-0.227,-5.194,-76.772,-0.175,-0.131,77.515,0.998957,0.005322,-0.002223,-0.045301,0.783841,-0.620959,-0.000489,-0.001845,0.944933,-0.326305,-0.001437,-0.024989,0.00021,0.00100,0.00193,-0.00158,0.00057,0.00071
29.8636,0,1,625.95,-38.073,-1.100,-2.660,-0.00002,-0.00081,-0.00026,0.618,-0.233,-5.202,-76.763,-0.188,-0.134,77.503,0.998954,0.005298,-0.002274,-0.045365,0.783891,-0.620896,-0.000559,-0.001930,0.944940,-0.326278,-0.001501,-0.025067,-0.00088,-0.00220,-0.00152,0.00083,0.00057,0.00100
30.1705,0,1,306.90,-38.067,-1.102,-2.667,0.00010,0.00091,0.00028,0.622,-0.240,-5.207,-76.755,-0.187,-0.146,77.497,0.998951,0.005324,-0.002341,-0.045411,0.783934,-0.620841,-0.000487,-0.002015,0.944954,-0.326233,-0.001499,-0.025137,0.00072,0.00075,0.00089,-0.00052,0.00108,-0.00034
30.4661,0,1,295.55,-38.065,-1.106,-2.665,-0.00016,0.00131,0.00014,0.629,-0.245,-5.207,-76.757,-0.189,-0.142,77.506,0.998951,0.005384,-0.002388,-0.045414,0.783923,-0.620855,-0.000523,-0.001993,0.944961,-0.326213,-0.001542,-0.025127,-0.00115,0.00154,0.00063,0.00083,0.00109,-0.00034
31.0977,0,1,631.61,-38.064,-1.111,-2.665,0.00064,-0.00015,-0.00012,0.625,-0.250,-5.211,-76.751,-0.192,-0.141,77.496,0.998950,0.005350,-0.002425,-0.045443,0.783959,-0.620810,-0.000551,-0.002002,0.944964,-0.326202,-0.001577,-0.025146,0.00153,-0.00059,-0.00070,-0.00025,0.00029,0.00046
32.0135,0,1,915.78,-38.059,-1.111,-2.666,0.00051,0.00038,0.00081,0.625,-0.253,-5.224,-76.742,-0.183,-0.133,77.488,0.998945,0.005344,-0.002454,-0.045555,0.784007,-0.620749,-0.000529,-0.001901,0.944976,-0.326168,-0.001581,-0.025152,0.00021,0.00073,0.00013,0.00080,0.00003,0.00149
32.0279,0,1,14.45,-38.068,-1.110,-2.666,-0.00055,-0.00016,-0.00066,0.608,-0.250,-5.221,-76.743,-0.184,-0.134,77.472,0.998946,0.005201,-0.002421,-0.045532,0.784002,-0.620755,-0.000536,-0.001914,0.944951,-0.326239,-0.001567,-0.025146,-0.00031,-0.00060,-0.00015,-0.00080,0.00029,-0.00118
32.9389,0,1,910.94,-38.065,-1.099,-2.662,-0.00016,0.00251,0.00025,0.606,-0.245,-5.208,-76.734,-0.176,-0.140,77.461,0.998952,0.005182,-0.002374,-0.045424,0.784047,-0.620699,-0.000441,-0.001911,0.944962,-0.326214,-0.001492,-0.025087,0.00076,0.00180,0.00063,-0.00109,0.00321,-0.00013
33.4915,0,1,552.62,-38.069,-1.098,-2.672,0.00092,0.00090,-0.00028,0.598,-0.237,-5.218,-76.734,-0.178,-0.146,77.454,0.998948,0.005117,-0.002307,-0.045511,0.784046,-0.620699,-0.000432,-0.001962,0.944949,-0.326246,-0.001452,-0.025159,0.00132,0.00260,-0.00068,0.00051,-0.00081,0.00013
33.5485,0,1,56.97,-38.064,-1.115,-2.675,-0.00016,-0.00001,-0.00026,0.601,-0.252,-5.218,-76.728,-0.200,-0.150,77.449,0.998948,0.005141,-0.002438,-0.045509,0.784079,-0.620657,-0.000554,-0.002112,0.944960,-0.326208,-0.001585,-0.025238,-0.00135,-0.00056,-0.00069,0.00103,0.00053,0.00017
33.5629,0,1,14.39,-38.064,-1.114,-2.675,0.00064,0.00065,0.00041,0.602,-0.251,-5.218,-76.728,-0.200,-0.150,77.450,0.998948,0.005145,-0.002425,-0.045507,0.784079,-0.620657,-0.000554,-0.002112,0.944960,-0.326206,-0.001578,-0.025236,0.00025,0.00078,0.00065,0.00103,0.00053,0.00017
33.7479,0,1,185.08,-38.061,-1.114,-2.674,0.00037,-0.00001,0.00120,0.607,-0.257,-5.217,-76.727,-0.194,-0.153,77.455,0.998948,0.005193,-0.002479,-0.045496,0.784084,-0.620651,-0.000501,-0.002095,0.944970,-0.326180,-0.001579,-0.025222,0.00077,0.00026,0.00118,-0.00004,-0.00028,0.00123
33.7584,0,1,10.44,-38.059,-1.109,-2.677,0.00130,-0.00002,0.00120,0.609,-0.250,-5.214,-76.726,-0.194,-0.159,77.454,0.998949,0.005207,-0.002420,-0.045476,0.784093,-0.620639,-0.000468,-0.002136,0.944974,-0.326166,-0.001531,-0.025234,0.00104,-0.00002,0.00251,0.00156,-0.00003,-0.00011
33.8608,0,1,102.46,-38.061,-1.111,-2.677,-0.00084,0.00052,-0.00026,0.608,-0.251,-5.217,-76.727,-0.196,-0.157,77.455,0.998948,0.005197,-0.002429,-0.045495,0.784084,-0.620651,-0.000491,-0.002136,0.944970,-0.326178,-0.001548,-0.025243,-0.00056,0.00025,0.00011,-0.00111,0.00078,-0.00064
33.8699,0,1,9.04,-38.060,-1.110,-2.677,-0.00017,0.00065,0.00054,0.608,-0.251,-5.217,-76.727,-0.195,-0.158,77.454,0.998948,0.005197,-0.002429,-0.045495,0.784086,-0.620649,-0.000477,-0.002135,0.944971,-0.326176,-0.001540,-0.025243,-0.00056,0.00025,0.00011,0.00022,0.00104,0.00096
34.4742,0,1,604.30,-38.064,-1.102,-2.680,-0.00003,-0.00003,0.00066,0.604,-0.241,-5.216,-76.732,-0.191,-0.161,77.456,0.998949,0.005169,-0.002337,-0.045489,0.784061,-0.620680,-0.000433,-0.002133,0.944960,-0.326208,-0.001468,-0.025239,-0.00002,-0.00057,0.00091,-0.00003,0.00050,0.00042
34.7775,0,1,303.37,-38.066,-1.105,-2.683,-0.00015,0.00130,-0.00107,0.597,-0.243,-5.216,-76.728,-0.196,-0.167,77.445,0.998949,0.005108,-0.002358,-0.045490,0.784078,-0.620659,-0.000435,-0.002201,0.944953,-0.326224,-0.001480,-0.025275,-0.00053,0.00264,-0.00122,0.00023,-0.00005,-0.00091
35.3912,0,1,613.66,-38.064,-1.113,-2.681,-0.00095,0.00051,-0.00079,0.599,-0.252,-5.220,-76.724,-0.198,-0.161,77.443,0.998947,0.005118,-0.002437,-0.045522,0.784100,-0.620631,-0.000484,-0.002174,0.944960,-0.326203,-0.001548,-0.025278,-0.00266,0.00025,-0.00175,0.00075,0.00077,0.00016
35.3952,0,1,3.96,-38.063,-1.111,-2.682,0.00038,-0.00082,0.00054,0.600,-0.247,-5.228,-76.725,-0.194,-0.154,77.446,0.998944,0.005134,-0.002396,-0.045595,0.784099,-0.620632,-0.000491,-0.002108,0.944963,-0.326197,-0.001530,-0.025281,0.00109,-0.00028,-0.00013,-0.00033,-0.00136,0.00121
35.4921,0,1,96.94,-38.065,-1.111,-2.680,-0.00055,0.00026,0.00054,0.599,-0.244,-5.226,-76.727,-0.198,-0.150,77.446,0.998945,0.005123,-0.002368,-0.045577,0.784088,-0.620646,-0.000539,-0.002098,0.944958,-0.326210,-0.001540,-0.025267,-0.00051,-0.00001,0.00013,-0.00059,0.00052,0.00095
35.6888,0,1,196.73,-38.065,-1.112,-2.679,-0.00002,-0.00134,-0.00026,0.599,-0.245,-5.226,-76.727,-0.198,-0.148,77.446,0.998945,0.005121,-0.002371,-0.045581,0.784086,-0.620648,-0.000556,-0.002086,0.944958,-0.326213,-0.001551,-0.025262,0.00029,-0.00054,-0.00040,-0.00032,-0.00214,-0.00012
35.7104,0,1,21.60,-38.070,-1.113,-2.681,-0.00147,-0.00041,-0.00039,0.600,-0.243,-5.225,-76.737,-0.203,-0.152,77.457,0.998945,0.005130,-0.002355,-0.045567,0.784029,-0.620721,-0.000568,-0.002141,0.944943,-0.326252,-0.001549,-0.025285,-0.00158,-0.00081,0.00040,-0.00137,-0.00001,-0.00117
35.7998,0,1,89.40,-38.068,-1.111,-2.681,0.00106,-0.00041,0.00134,0.603,-0.244,-5.226,-76.739,-0.197,-0.152,77.463,0.998945,0.005161,-0.002369,-0.045580,0.784022,-0.620730,-0.000525,-0.002103,0.944947,-0.326243,-0.001534,-0.025271,0.00162,-0.00054,-0.00013,0.00050,-0.00028,0.00282
